jgd_id;jgd_old_id;jgd_tag;jgd_nome;jgd_pis_id
303;60c1e927490bd8649dd30bcb;LeV;;3
304;60c1eb7c490bd8649dd30c02;m7md8noop;;3
305;6169da29143c37878b239321;Mag;Mohammed;3
306;61896a91143c37878b23d0ea;MAJID;;3
307;61795310f8090ec7452895be;meesh18;;3
308;61795401f8090ec7452895ff;Mentor.;;3
309;620a7d91c437fde7e02cff88;mesho;;3
310;6179536a143c37878b23aeab;mgrm;;3
311;627b9856c437fde7e02d6413;MnS.;;3
312;6154273f143c37878b2380a7;moayad;;3
313;627b9856c437fde7e02d6414;Mohammed.;;3
314;61896ba2143c37878b23d12e;Mohanned;;3
315;61ed2a35c437fde7e02cd68f;Mu3;;3
316;6169e011f8090ec745287c51;MySTeriOuS.;;3
317;5f3d8fdd95f40596eae24391;nadr;;3
318;5f3d8fdd95f40596eae2439a;Naizak;Yousif L.;3
319;6179536a143c37878b23aead;Nasser;;3
320;620a7d91c437fde7e02cff89;Nawaf.;;3
321;61896c61f8090ec74528bc17;Negan;;3
322;5f77ad09a0cb87e0663bc1c0;NFloopy;;3
323;620a7c65c437fde7e02cff41;Nwpo;;3
324;61ed29a5c437fde7e02cd655;Nym;;3
325;61ed29a5c437fde7e02cd656;oe_f9;;3
326;61ed28c5da9d7ca1c7ba5b2d;OS2MA;;3
327;61daee81c437fde7e02cb7e7;qNa9r;;3
328;61896953f8090ec74528bb74;Ragnar;;3
329;61daed76c437fde7e02cb7ca;Riezx;;3
330;60c1e927490bd8649dd30bcc;Rixy;;3
331;61896953f8090ec74528bb72;RLomar;;3
332;6266d9cdda9d7ca1c7bacf35;RwT;;3
333;61daed15da9d7ca1c7ba3ca8;ScooT;;3
334;5f5ae873c6cbf591c568a54d;SiAT;;3
335;5f77ad09a0cb87e0663bc1c1;SLK;;3
336;6266d9cdda9d7ca1c7bacf34;SoNr.;;3
337;616320b0f8090ec745287470;SQQP;;3
338;60c1eae6490bd8649dd30bf1;Suliman3nb;;3
339;5f8910cc4f0e8d24ca7ef455;sythe;;3
340;6169e634f8090ec745287cb1;t9berh;;3
341;6169d5bff8090ec745287c3b;Talal.;Talal Al-Sanea;3
342;61896c61f8090ec74528bc18;Tiger;;3
343;61896c61f8090ec74528bc16;Totti;;3
344;6266d9cdda9d7ca1c7bacf36;Trfnx.;;3
345;5f5ae872c6cbf591c568a547;twty;;3
346;61daedebda9d7ca1c7ba3cdd;Ultron;;3
347;61daedebda9d7ca1c7ba3cde;Vergil;;3
348;61632035143c37878b238b2c;Vipex;;3
349;61795401f8090ec745289600;WAJEH;;3
350;6266db20c437fde7e02d48ed;Willie.;;3
351;6193d275143c37878b23dc1e;Winters;;3
352;5f3d8fdd95f40596eae24397;xDangerousPlayer;;3
353;61daed15da9d7ca1c7ba3ca7;xScary;;3
354;6266d998da9d7ca1c7bacf25;Y25.;;3
355;607d7de9473f172e4c0d4b1f;Yahya;;3
356;617952e4143c37878b23ae95;yii2_3;;3
357;61daed76c437fde7e02cb7c8;YouseF;;3
358;61daee81c437fde7e02cb7e8;ziyad;;3
359;617d200ef8090ec745289fdf;Abdelaty;;4
360;60bb4b446d9c1362119ca7eb;AbuLba;;4
361;61794c34f8090ec7452894a1;acefryst;;5
362;5f3d8fdd95f40596eae23f40;Acrox88;Anthony Christian Digneng Uy;6
363;61794b8df8090ec74528948b;Ahmad;;5
364;6266defac437fde7e02d498f;Aimen;;7
365;6030898a663c30502bdac593;Aimz;Aiman Nissan;8
366;5fd40efc0e831f1d52bce3b5;airmac;;8
367;612c8f0887f814e9fb000439;aiz;;8
