stt_jgd_id,stt_chutes_ao_gol,stt_gols,stt_defesas,stt_assistencias,stt_pontuacao,stt_relacao_chute_gol,stt_impulso_por_minuto,stt_med_impulso,stt_impulso_coletado,stt_impulso_roubado,stt_impulso_grande_coletado,stt_impulso_grande_roubado,stt_impulso_pequeno_coletado,stt_impulso_pequeno_roubado,stt_blocos_grandes_coletados,stt_blocos_grandes_roubados,stt_blocos_pequenos_coletados,stt_blocos_pequenos_roubados,stt_velocidade_med,stt_distancia_percorrida,stt_distancia_med_da_bola,stt_distancia_med_posse,stt_distancia_med_s_posse,stt_distancia_med_dos_aliados,stt_demolicoes_causadas,stt_demolicoes_recebidas,stt_participacoes_gols,cluster
118,1.8,0.6,0.8,0.4,323.6,20.67,494.4,44.48,3070.4,631.8,2179.0,355.4,891.4,276.4,24.2,4.0,74.0,20.8,1670.8,616160.4,3092.0,2873.8,3256.4,3814.0,0.6,0.2,60.0,0
119,0.5,0.0,1.67,0.17,192.67,0.0,283.5,45.39,1688.33,201.83,999.67,98.83,688.67,103.0,12.5,1.33,60.0,9.0,1428.33,481611.67,3312.0,3380.5,3259.17,3726.0,0.17,0.67,16.67,2
120,1.86,0.48,1.54,0.34,328.94,19.63,280.38,53.94,1813.58,291.56,1328.16,196.04,485.42,95.52,17.16,2.76,42.78,8.68,1453.94,504815.04,2943.74,2900.5,2985.22,3703.66,0.54,0.72,39.97,2
121,2.21,0.62,1.0,0.42,289.08,14.1,361.75,52.31,2168.71,348.21,1639.08,222.58,529.62,125.62,20.54,3.04,45.04,10.88,1528.12,505056.58,2951.83,2801.29,3088.71,3710.58,0.67,0.67,43.75,2
122,2.65,0.53,1.35,0.59,317.12,11.76,338.94,46.26,2169.76,470.59,1442.29,243.59,727.47,227.0,17.71,3.06,60.71,18.35,1468.53,551725.29,3131.65,3050.59,3198.76,3839.94,1.06,0.71,29.94,1
123,1.71,0.61,1.96,0.43,374.0,18.93,403.82,49.05,2399.79,450.79,1597.79,240.29,802.0,210.5,18.93,2.86,68.43,17.68,1507.54,518368.57,2890.43,2789.64,2974.79,3663.61,0.32,0.86,36.43,1
124,3.24,1.13,1.19,0.68,408.98,24.27,405.26,47.19,2433.39,486.25,1638.57,256.08,794.82,230.17,19.72,3.09,68.92,19.8,1565.09,528475.36,2936.64,2849.18,3020.15,3633.21,0.81,0.86,44.22,1
125,1.33,0.67,1.0,0.33,289.67,33.33,340.33,49.06,1885.0,479.67,1212.67,294.33,672.33,185.33,14.0,3.33,59.0,17.33,1449.33,479215.33,2915.0,2772.0,3072.0,3467.0,0.33,1.0,50.0,2
126,1.94,0.41,1.35,0.12,267.41,9.61,348.18,48.6,2116.18,435.12,1329.76,259.24,786.41,175.88,15.82,3.06,67.76,14.94,1430.65,505512.65,3079.94,3072.12,3081.35,3703.12,0.53,0.76,27.06,2
127,1.96,0.37,1.37,0.37,269.78,8.15,416.0,44.25,2381.63,522.41,1630.63,335.63,751.0,186.78,18.11,3.67,65.15,16.3,1520.48,501365.78,3110.44,3044.74,3163.3,3708.44,0.67,0.96,26.79,1
128,1.83,0.67,1.5,0.25,303.42,19.44,385.33,50.11,2354.5,457.17,1423.25,204.67,931.25,252.5,16.92,2.67,84.67,22.42,1512.83,513082.58,2840.33,2896.17,2774.25,3625.0,0.33,0.33,29.64,1
129,0.33,0.0,1.33,0.33,171.33,0.0,157.67,52.4,1014.33,177.0,568.0,81.67,446.33,95.33,7.67,1.0,40.33,8.67,1333.67,442046.67,3059.67,3148.33,2981.67,3414.67,0.0,0.67,16.67,2
130,2.0,0.82,1.88,0.35,368.06,18.02,334.53,49.86,2036.35,330.71,1471.76,203.65,564.59,127.06,17.94,2.53,49.35,11.12,1484.47,497565.35,3159.82,3057.71,3244.18,3745.47,0.65,0.82,57.35,2
131,2.33,0.44,1.44,0.67,352.78,11.3,341.67,58.74,2291.0,596.22,1483.89,352.22,807.11,244.0,21.0,4.78,72.33,21.22,1529.67,564099.67,3122.89,3001.0,3258.11,3876.56,0.89,0.89,40.0,0
